72 Trần Phú, Thị trấn Đak Đoa, Huyện Đak Đoa, Tỉnh Gia Lai
50A Lý Nam Đế , Phường Phù Đổng, Thành phố  Pleiku, Tỉnh Gia Lai
đường Lê Duẩn, Tổ dân phố 9, Thị Trấn Chư Sê, Huyện Chư Sê, Tỉnh Gia Lai
87 Hoàng Văn Thụ, Phường Diên Hồng, Thành phố  Pleiku, Tỉnh Gia Lai
Hẻm 24 Đặng Thai Mai, Phường Thắng Lợi, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn Mỹ Giang, Xã Đăk Yă, Huyện Mang Yang, Tỉnh Gia Lai
886 Hùng Vương, Thị Trấn Chư Sê, Huyện Chư Sê, Tỉnh Gia Lai
34 Lý Tự Trọng , Phường Tây Sơn, Thành phố  Pleiku, Tỉnh Gia Lai
Hẻm Nguyễn Du, Phường Sông Bờ, Thị xã Ayun Pa, Tỉnh Gia Lai
66A Phùng Khắc Hoan, Phường Yên Đỗ, Thành phố  Pleiku, Tỉnh Gia Lai
Làng Ar Bơ Tôk, Xã Đê Ar, Huyện Mang Yang, Tỉnh Gia Lai
138 Tôn Đức Thắng, Phường Yên Thế, Thành phố  Pleiku, Tỉnh Gia Lai
24 Lê Văn Hưu, Phường Yên Thế, Thành phố  Pleiku, Tỉnh Gia Lai
05 Võ Thị Sáu, Thị Trấn Chư Sê, Huyện Chư Sê, Tỉnh Gia Lai
19 Siu Bleh, Phường Đống Đa, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn Thống Nhất, Xã Ia Peng, Huyện Phú Thiện, Tỉnh Gia Lai
Thôn Thống Nhất, Xã Ia Peng, Huyện Phú Thiện, Tỉnh Gia Lai
77 Lý Chính Thắng, Phường Chi Lăng, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn Piơm, Thị trấn Đak Đoa, Huyện Đak Đoa, Tỉnh Gia Lai
Thôn TaoChor, Xã Ia Hrú, Huyện Chư Pưh, Tỉnh Gia Lai
Thôn 2, Xã Trà Đa, Thành phố  Pleiku, Tỉnh Gia Lai
Lô C5 đường số 4 Khu Công nghiệp Trà Đa, Xã Trà Đa, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn Thơh Ga B, Xã Chư Don, Huyện Chư Pưh, Tỉnh Gia Lai
49 Phạm Ngũ Lão, Phường Trà Bá, Thành phố  Pleiku, Tỉnh Gia Lai
05 Cách Mạng, Thị Trấn Chư Sê, Huyện Chư Sê, Tỉnh Gia Lai
Thôn 2, Xã Tân Bình, Huyện Đak Đoa, Tỉnh Gia Lai
03/7 Võ Duy Dương, Phường Yên Thế, Thành phố  Pleiku, Tỉnh Gia Lai
21 Lê Lợi, Thị Trấn Chư Sê, Huyện Chư Sê, Tỉnh Gia Lai
123 Trường Chinh, Phường Trà Bá, Thành phố  Pleiku, Tỉnh Gia Lai
19 Siu Bleh, Tổ 1, Phường Đống Đa, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn Yên Hưng, Xã Ia Piơr, Huyện Chư Prông, Tỉnh Gia Lai
291 Quang Trung, Thị Trấn Kbang, Huyện Kbang, Tỉnh Gia Lai
Làng Kte, Xã H Bông, Huyện Chư Sê, Tỉnh Gia Lai
494 Hùng Vương, Phường Phù Đổng, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn H'Briu 1, Xã Chư Mố, Huyện Ia Pa, Tỉnh Gia Lai
16 Phan Đình Phùng, Phường Tây Sơn, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn 3, Xã Tân Bình, Huyện Đak Đoa, Tỉnh Gia Lai
191 Nguyễn Tất Thành, Phường Phù Đổng, Thành phố  Pleiku, Tỉnh Gia Lai
576 Trường Chinh, Phường Trà Bá, Thành phố  Pleiku, Tỉnh Gia Lai
94A Bà Triệu, Phường Phù Đổng, Thành phố  Pleiku, Tỉnh Gia Lai
Làng Nang A, Xã Ia Sao, Huyện Ia Grai, Tỉnh Gia Lai
07 Nguyễn Đình Chiểu, Phường Tây Sơn, Thành phố  Pleiku, Tỉnh Gia Lai
129B Ngô Quyền, Phường Cheo Reo, Thị xã Ayun Pa, Tỉnh Gia Lai
31A Đống Đa, Phường Ia Kring, Thành phố  Pleiku, Tỉnh Gia Lai
Làng Lắt, Xã Ia Boòng, Huyện Chư Prông, Tỉnh Gia Lai
Làng Lắt, Xã Ia Boòng, Huyện Chư Prông, Tỉnh Gia Lai
381 Hùng Vương, Thị Trấn Chư Prông, Huyện Chư Prông, Tỉnh Gia Lai
11/3 Nguyễn Văn Cừ , Phường Ia Kring, Thành phố  Pleiku, Tỉnh Gia Lai
30 Lê Lợi, Thị trấn Đak Đoa, Huyện Đak Đoa, Tỉnh Gia Lai
43 Trần Kiên, Tổ 4 , Phường Phù Đổng, Thành phố  Pleiku, Tỉnh Gia Lai
Làng Pó, Xã Ia Kly, Huyện Chư Prông, Tỉnh Gia Lai
323/07A Trần Phú , Phường Diên Hồng, Thành phố  Pleiku, Tỉnh Gia Lai
158 Trần Phú, Phường Diên Hồng, Thành phố  Pleiku, Tỉnh Gia Lai
134B Lê Duẩn, Phường Trà Bá, Thành phố  Pleiku, Tỉnh Gia Lai
612 Nguyễn Viết Xuân, Phường Hội Phú, Thành phố  Pleiku, Tỉnh Gia Lai
707 Trường Chinh, Tổ 2, Phường Chi Lăng, Thành phố  Pleiku, Tỉnh Gia Lai
97 Tạ Quang Bửu, Phường Hoa Lư, Thành phố  Pleiku, Tỉnh Gia Lai
296C Phạm Văn Đồng, Phường Thống Nhất, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn Pác Bó, Xã Ia Lâu, Huyện Chư Prông, Tỉnh Gia Lai
Thôn Pi Dông, Xã Pờ Tó, Huyện Ia Pa, Tỉnh Gia Lai
Làng Tăng, Xã Ia O, Huyện Ia Grai, Tỉnh Gia Lai
Thôn Hàm Rồng, Phường Chi Lăng, Thành phố  Pleiku, Tỉnh Gia Lai
41A Trần Quang Khải, Phường Diên Hồng, Thành phố  Pleiku, Tỉnh Gia Lai
Làng Đê Kôih, Xã Đăk Trôi, Huyện Mang Yang, Tỉnh Gia Lai
Làng Phung, Xã Ia Piơr, Huyện Chư Prông, Tỉnh Gia Lai
Tổ 8, Phường Trà Bá, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn Bôn Trôk, Xã Ia Trok, Huyện Ia Pa, Tỉnh Gia Lai
255 Hùng Vương, Phường Hội Thương, Thành phố  Pleiku, Tỉnh Gia Lai
101 Lê Đại Hành, Phường Thống Nhất, Thành phố  Pleiku, Tỉnh Gia Lai
35 Phạm Văn Đồng, Phường Tây Sơn, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn Phú An, Xã Ia Le, Huyện Chư Pưh, Tỉnh Gia Lai
66 Yên Đỗ , Phường Yên Đỗ, Thành phố  Pleiku, Tỉnh Gia Lai
90/6/3 Trường Chinh , Phường Phù Đổng, Thành phố  Pleiku, Tỉnh Gia Lai
61B Phùng Khắc Khoan, Phường Yên Đỗ, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn 18 , Xã Đăk Sơmei, Huyện Đak Đoa, Tỉnh Gia Lai
Thôn Teng Nong, Xã Ia Rong, Huyện Chư Pưh, Tỉnh Gia Lai
02 Nguyễn Đường, Phường Ia Kring, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn Tân Hiệp, Xã Tân An, Huyện ĐakPơ, Tỉnh Gia Lai
Nguyễn Văn Trỗi , Thị Trấn Đak Pơ, Huyện ĐakPơ, Tỉnh Gia Lai
12 Trần Quang Diệu , Phường Thống Nhất, Thành phố  Pleiku, Tỉnh Gia Lai
476 Quang Trung, Thị Trấn Kbang, Huyện Kbang, Tỉnh Gia Lai
46 Hùng Vương, Phường Ia Kring, Thành phố  Pleiku, Tỉnh Gia Lai
05 Phù Đổng, Phường Phù Đổng, Thành phố  Pleiku, Tỉnh Gia Lai
37/37F Phan Đăng Lưu, Phường Thống Nhất, Thành phố  Pleiku, Tỉnh Gia Lai
25 Hoàng Văn Thái, Phường Hoa Lư, Thành phố  Pleiku, Tỉnh Gia Lai
331 Trường Sơn, Tổ 6, Phường Yên Thế, Thành phố  Pleiku, Tỉnh Gia Lai
Tổ 3, Phường Yên Thế, Thành phố  Pleiku, Tỉnh Gia Lai
77 Tôn Thất Tùng , Phường Phù Đổng, Thành phố  Pleiku, Tỉnh Gia Lai
58 đường 17/3, Phường Thống Nhất, Thành phố  Pleiku, Tỉnh Gia Lai
40/86 Phạm Văn Đồng, Phường Hoa Lư, Thành phố  Pleiku, Tỉnh Gia Lai
15 Trường Chinh, Phường Phù Đổng, Thành phố  Pleiku, Tỉnh Gia Lai
79/293 Trần Phú, Phường Diên Hồng, Thành phố  Pleiku, Tỉnh Gia Lai
26 Trần Khánh Dư, Phường Diên Hồng, Thành phố  Pleiku, Tỉnh Gia Lai
Khu Dốc Đỏ, Xã Phú Cần, Huyện Krông Pa, Tỉnh Gia Lai
35 Phạm Văn Đồng, Phường Tây Sơn, Thành phố  Pleiku, Tỉnh Gia Lai
35 Phạm Văn Đồng, Phường Tây Sơn, Thành phố  Pleiku, Tỉnh Gia Lai
35 Phạm Văn Đồng, Phường Tây Sơn, Thành phố  Pleiku, Tỉnh Gia Lai
159 Lê Duẩn, Tổ 12, Phường Phù Đổng, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn Hòa Sơn, Xã Ia Phang, Huyện Chư Pưh, Tỉnh Gia Lai
Thôn Hòa Sơn, Xã Ia Phang, Huyện Chư Pưh, Tỉnh Gia Lai
51A Nguyễn Đường, Phường Ia Kring, Thành phố  Pleiku, Tỉnh Gia Lai
Làng Lân, Xã Ia O, Huyện Ia Grai, Tỉnh Gia Lai
64 Bùi Dự, Phường Hoa Lư, Thành phố  Pleiku, Tỉnh Gia Lai
66 Bùi Dự, Phường Hoa Lư, Thành phố  Pleiku, Tỉnh Gia Lai
41 Hoàng Văn Thụ, Phường Diên Hồng, Thành phố  Pleiku, Tỉnh Gia Lai
113 đường 17/3, Phường Đống Đa, Thành phố  Pleiku, Tỉnh Gia Lai
Làng Tơng, Xã Ia Dêr, Huyện Ia Grai, Tỉnh Gia Lai
134 Lý Thường Kiệt, Xã Trà Đa, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn Phú Tân, Xã Ia Băng, Huyện Chư Prông, Tỉnh Gia Lai
45 Trần Quang Khải, Phường Diên Hồng, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn 3, Thị trấn Đak Đoa, Huyện Đak Đoa, Tỉnh Gia Lai
Thôn Ia Lok, Xã Ia Mơ Nông, Huyện Chư Păh, Tỉnh Gia Lai
223 Sư Vạn Hạnh, Phường Hội Thương, Thành phố  Pleiku, Tỉnh Gia Lai
Tổ 1, Phường An Phú, Thị xã An Khê, Tỉnh Gia Lai
37 Quang Trung, Phường Hội Thương, Thành phố  Pleiku, Tỉnh Gia Lai
264 Trần Hưng Đạo, Phường Hoà Bình, Thị xã Ayun Pa, Tỉnh Gia Lai
20 Lê Quý Đôn, Thị Trấn Chư Prông, Huyện Chư Prông, Tỉnh Gia Lai
54 Hoàng Văn Thụ, Phường Ia Kring, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn Nông Trường, Xã Ia Glai, Huyện Chư Sê, Tỉnh Gia Lai
168 Cao Bá Quát, Phường Yên Đỗ, Thành phố  Pleiku, Tỉnh Gia Lai
Hẻm 52 Chu Mạnh Trinh, Phường Hội Phú, Thành phố  Pleiku, Tỉnh Gia Lai
168 Duy Tân, Phường Diên Hồng, Thành phố  Pleiku, Tỉnh Gia Lai
76 Nguyễn Văn Trỗi, Phường Hoà Bình, Thị xã Ayun Pa, Tỉnh Gia Lai
26 Nguyễn Thiếp, Phường Diên Hồng, Thành phố  Pleiku, Tỉnh Gia Lai
63A Triệu Quang Phục, Phường Phù Đổng, Thành phố  Pleiku, Tỉnh Gia Lai
13/47A Chu Văn An, Phường Phù Đổng, Thành phố  Pleiku, Tỉnh Gia Lai
Hẻm 309 Lê Thánh Tôn, Phường Hội Phú, Thành phố  Pleiku, Tỉnh Gia Lai
414 Lê Đại Hành, Tổ 2, Phường Yên Thế, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn 9, Xã Nghĩa Hưng, Huyện Chư Păh, Tỉnh Gia Lai
126 Cách Mạng Tháng 8, Phường Hoa Lư, Thành phố  Pleiku, Tỉnh Gia Lai
168 Duy Tân, Phường Diên Hồng, Thành phố  Pleiku, Tỉnh Gia Lai
20 Phạm Văn Đồng, Phường Hoa Lư, Thành phố  Pleiku, Tỉnh Gia Lai
20 Phạm Văn Đồng, Phường Hoa Lư, Thành phố  Pleiku, Tỉnh Gia Lai
Lô C1-1 Khu công nghiệp Trà Đa (mở rộng), Xã Trà Đa, Thành phố  Pleiku, Tỉnh Gia Lai
18 Hoàng Quốc Việt, Thị Trấn Chư Sê, Huyện Chư Sê, Tỉnh Gia Lai
747 Hùng Vương, Thị Trấn Chư Sê, Huyện Chư Sê, Tỉnh Gia Lai
747 Hùng Vương, Thị Trấn Chư Sê, Huyện Chư Sê, Tỉnh Gia Lai
83 Trường Chinh, Phường Phù Đổng, Thành phố  Pleiku, Tỉnh Gia Lai
38 Lê Đại Hành, Phường Thống Nhất, Thành phố  Pleiku, Tỉnh Gia Lai
70 Chi Lăng, Phường Hoa Lư, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn Ia Rốk, Xã Ia Kênh, Thành phố  Pleiku, Tỉnh Gia Lai
131/11/18 Lê Duẩn, Phường Phù Đổng, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn Thắng Trạch 1, Thị Trấn Ia Kha, Huyện Ia Grai, Tỉnh Gia Lai
126 Wừu, Phường Ia Kring, Thành phố  Pleiku, Tỉnh Gia Lai
621 Trường Chinh, Phường Chi Lăng, Thành phố  Pleiku, Tỉnh Gia Lai
64 Lê Đại Hành, Phường Thống Nhất, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn 4, Xã Pờ Tó, Huyện Ia Pa, Tỉnh Gia Lai
458 Trường Chinh, Phường Chi Lăng, Thành phố  Pleiku, Tỉnh Gia Lai
219 Nguyễn Tất Thành, Phường Phù Đổng, Thành phố  Pleiku, Tỉnh Gia Lai
93 Huỳnh Thúc Kháng, Phường Yên Đỗ, Thành phố  Pleiku, Tỉnh Gia Lai
65/46 Lê Thị Riêng, Phường Hội Phú, Thành phố  Pleiku, Tỉnh Gia Lai
Làng Pnuk, Xã Ia Kriêng, Huyện Đức Cơ, Tỉnh Gia Lai
18A Trần Nhân Tông, Phường Hội Phú, Thành phố  Pleiku, Tỉnh Gia Lai
61B Phùng Khắc Khoan, Tổ 13, Phường Yên Đỗ, Thành phố  Pleiku, Tỉnh Gia Lai
Tổ 3, Thị Trấn Kon Dơng, Huyện Mang Yang, Tỉnh Gia Lai
15 Nguyễn An Ninh, Phường Ia Kring, Thành phố  Pleiku, Tỉnh Gia Lai
QL 19, Thôn 1, Xã Chư Á, Thành phố  Pleiku, Tỉnh Gia Lai
Beitel, Xã Ia Rong, Huyện Chư Pưh, Tỉnh Gia Lai
Thôn 6, Xã Nghĩa Hưng, Huyện Chư Păh, Tỉnh Gia Lai
Tổ 5, Thị Trấn Chư Prông, Huyện Chư Prông, Tỉnh Gia Lai
11 Hồ Tùng Mậu, Phường Đống Đa, Thành phố  Pleiku, Tỉnh Gia Lai
Hẻm 220 Lê Duẩn, Phường Trà Bá, Thành phố  Pleiku, Tỉnh Gia Lai
07 Đặng Văn Ngữ, Xã Trà Đa, Thành phố  Pleiku, Tỉnh Gia Lai
06/4 Lý Nam Đế, Phường Phù Đổng, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn Dun Bêu, Thị Trấn Chư Sê, Huyện Chư Sê, Tỉnh Gia Lai
85 Võ Thị Sáu, tổ 1, Thị Trấn Chư Ty, Huyện Đức Cơ, Tỉnh Gia Lai
Thôn 1, Xã Diên Phú, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn 6, Xã Nghĩa Hưng, Huyện Chư Păh, Tỉnh Gia Lai
Hẻm 294 Tôn Đức Thắng, Xã Biển Hồ, Thành phố  Pleiku, Tỉnh Gia Lai
Tổ 8, Thị Trấn Chư Sê, Huyện Chư Sê, Tỉnh Gia Lai
23/1 Nay Der, Phường Phù Đổng, Thành phố  Pleiku, Tỉnh Gia Lai
428 Quang Trung, Phường An Phú, Thị xã An Khê, Tỉnh Gia Lai
15 Hoàng Văn Thụ, Phường Ia Kring, Thành phố  Pleiku, Tỉnh Gia Lai
35/51 Nguyễn Hữu Huân, Phường Tây Sơn, Thành phố  Pleiku, Tỉnh Gia Lai
09 Hai Bà Trưng, Phường An Phú, Thị xã An Khê, Tỉnh Gia Lai
Quốc lộ 14, Thôn Tao Ôr, Xã Ia Rong, Huyện Chư Pưh, Tỉnh Gia Lai
76 Lê Đại Hành, Tổ 6, Phường Thống Nhất, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn Thắng Trạch, Thị Trấn Ia Kha, Huyện Ia Grai, Tỉnh Gia Lai
Thôn Tao Klăh, Xã Ia Rong, Huyện Chư Pưh, Tỉnh Gia Lai
25 Trần Nhật Duật, Phường Ia Kring, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn Hlang 1, Xã Yang Nam, Huyện Kông Chro, Tỉnh Gia Lai
Làng TNang, Xã Yang Trung, Huyện Kông Chro, Tỉnh Gia Lai
Thôn Hlang 1, Xã Yang Trung, Huyện Kông Chro, Tỉnh Gia Lai
Thôn Hlang 1, Xã Yang Trung, Huyện Kông Chro, Tỉnh Gia Lai
68 Tôn Thất Thuyết, Phường Hoa Lư, Thành phố  Pleiku, Tỉnh Gia Lai
27 Hoàng Quốc Việt, Phường Hoa Lư, Thành phố  Pleiku, Tỉnh Gia Lai
27 Hoàng Quốc Việt, Phường Hoa Lư, Thành phố  Pleiku, Tỉnh Gia Lai
173 Đường Hoàng Quốc Việt, Phường Hoa Lư, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn An Thượng 3, Xã Song An, Thị xã An Khê, Tỉnh Gia Lai
Làng Bót, Xã Hnol, Huyện Đak Đoa, Tỉnh Gia Lai
Tổ dân phố 3, Thị Trấn Phú Thiện, Huyện Phú Thiện, Tỉnh Gia Lai
68 Đinh Tiên Hoàng, Thị Trấn Chư Sê, Huyện Chư Sê, Tỉnh Gia Lai
10 Cao Thắng, Phường Yên Đỗ, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn 9, Xã Nghĩa Hưng, Huyện Chư Păh, Tỉnh Gia Lai
14/1 Mạc Đĩnh Chi, Phường Hoa Lư, Thành phố  Pleiku, Tỉnh Gia Lai
13 Phạm Ngọc Thạch, Phường Đống Đa, Thành phố  Pleiku, Tỉnh Gia Lai
Hẻm 114 Trường Chinh, Tổ 9, Phường Phù Đổng, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn 7, Xã Ia Nhin, Huyện Chư Păh, Tỉnh Gia Lai
01B Tăng Bạt Hổ, Phường Yên Đỗ, Thành phố  Pleiku, Tỉnh Gia Lai
1167 Trường Chinh, Phường Chi Lăng, Thành phố  Pleiku, Tỉnh Gia Lai
09 Mạc Đăng Dung, Phường Hội Phú, Thành phố  Pleiku, Tỉnh Gia Lai
Phạm Văn Đồng, Tổ 5, Phường Thống Nhất, Thành phố  Pleiku, Tỉnh Gia Lai
19C Lê Đại Hành, Phường Thống Nhất, Thành phố  Pleiku, Tỉnh Gia Lai
203 Cách Mạng Tháng Tám, Phường Hoa Lư, Thành phố  Pleiku, Tỉnh Gia Lai
83/125 Hà Huy Tập, tổ 16, Phường Yên Thế, Thành phố  Pleiku, Tỉnh Gia Lai
92 Tăng Bạt Hổ, Phường Yên Đỗ, Thành phố  Pleiku, Tỉnh Gia Lai
82 Phù Đổng, Phường Phù Đổng, Thành phố  Pleiku, Tỉnh Gia Lai
30 Lê Lợi, Phường Hội Thương, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn 2, Xã Kông Yang, Huyện Kông Chro, Tỉnh Gia Lai
45 Bà Triệu, Phường Phù Đổng, Thành phố  Pleiku, Tỉnh Gia Lai
Tổ dân phố 10, Thị Trấn Phú Thiện, Huyện Phú Thiện, Tỉnh Gia Lai
Khu kinh tế cửa khẩu Lệ Thanh, Xã Ia Dom, Huyện Đức Cơ, Tỉnh Gia Lai
44/11 Siu Bleh, Tổ 3, Phường Đống Đa, Thành phố  Pleiku, Tỉnh Gia Lai
230C Nguyễn Tất Thành, Phường Phù Đổng, Thành phố  Pleiku, Tỉnh Gia Lai
42 Phan Đình Phùng, Thị Trấn Phú Túc, Huyện Krông Pa, Tỉnh Gia Lai
Buôn H'Nung, Xã Chư Drăng, Huyện Krông Pa, Tỉnh Gia Lai
Tổ dân phố 1, Thị Trấn Chư Sê, Huyện Chư Sê, Tỉnh Gia Lai
48/2 Phùng Hưng, Phường Hội Thương, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn Dun Bêu, Thị Trấn Chư Sê, Huyện Chư Sê, Tỉnh Gia Lai
63 Lê Hồng Phong, Phường Diên Hồng, Thành phố  Pleiku, Tỉnh Gia Lai
Quốc lộ 25, Làng Kte 2, Xã H Bông, Huyện Chư Sê, Tỉnh Gia Lai
